product_id,product_name,aisle_id,department_id,nid,name,serving_size,total_fat,fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,protein,carbohydrate,sugars,product_freq
895,YoKids Squeeze Organic Blueberry Blue Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,3478
3631,Organic Whole Milk French Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,3896
11499,Organic Lowfat Black Cherry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,1940
15984,Almond Milk Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,4716
17553,Lowfat Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,4321
19156,Fat Free Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,7170
19354,Yo Baby Organic Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,3352
22025,YoBaby Blueberry Apple Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,7898
23427,Organic Wildberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,1062
26505,Snack Size Vanilla Yogurt Raisins,117,19,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,1906
28946,Yogurt Tubes Blueberry,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,2626
29387,Yo Toddler Organic Strawberry Banana Whole Milk Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,2588
30219,Lactose Free Blueberry Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,1280
30442,Low Fat Vanilla Yogurt,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,7259
33719,French Vanilla Yogurt Vanilla,120,16,1145,SILK Blueberry soy yogurt,100 g,1.2g,1.18 g,,0,15.00 mg,0,0,0,0,0,0,0,0.00 IU,0,0,17.6 mg,0,0,0,176.00 mg,0,0.64 mg,0,0,0,0,0,0,2.35 g,17.06 g,12.35 g,1042
