product_id,product_name,aisle_id,department_id,nid
9,Light Strawberry Blueberry Yogurt,120,16,1145
24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,47,11,8346
28,Wheat Chex Cereal,121,14,602
31,White Pearl Onions,123,4,568
34,Peanut Butter Cereal,121,14,269
42,Biotin 1000 mcg,47,11,326
43,Organic Clementines,123,4,132
45,European Cucumber,83,4,1507
58,Whole Wheat Tortillas,128,3,4748
62,Premium Deli Oven Roasted Turkey Breast,96,20,3559
66,European Style Spring Mix,123,4,5659
79,Wild Albacore Tuna No Salt Added,95,15,1883
83,100% Whole Wheat Pita Bread,128,3,1188
85,Soppressata Piccante,96,20,655
88,Probiotics High Potency Capsules,47,11,4529
89,Yogurt Fruit Dip Sliced Apples,123,4,130
90,Smorz Cereal,121,14,5291
91,Kind Prenatal Once Daily,47,11,5570
98,2% Yellow American Cheese,2,16,2678
99,Local Living Butter Lettuce,83,4,3495
101,"Bread, Healthy Whole Grain",112,3,295
108,Organic Sprouted Barley Bread,112,3,1315
117,Petit Suisse Fruit,2,16,618
120,Cauliflower Florettes,123,4,2392
132,Yogurt Strawberry Pomegranate,120,16,1144
137,Very Vanilla Soymilk,91,16,1025
138,Olli Napoli Salami,96,20,489
142,Arugula Salad,123,4,617
143,Organic Lemons,24,4,647
148,Nectarines,24,4,463
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20,8538
159,"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",47,11,1625
170,Single Herbs Ginkgo Leaf Dietary Supplement,47,11,6402
175,T Bone Steak,122,12,958
176,Original Turkey,96,20,672
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,42,1,7116
187,Wild Sardines in Marinara Sauce,95,15,2759
189,Healthfull Nuts & Seeds Bread,112,3,5365
194,Lamb Rib Chops,122,12,89
208,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,91,16,3170
222,Honey Nut Oatmeal Squares,121,14,495
238,Alpha-Bits Multigrain Cereal,121,14,5284
248,Dried Sweetened Cranberries,117,19,724
251,Extra Strength Melatonin Adult Gummies,47,11,4151
252,"Waffles, Red Berry",121,14,900
259,Imported Italian Solid Light Tuna In Pure Olive Oil,95,15,5657
260,Cantaloupe,24,4,1294
264,Non-Fat Blueberry on the Bottom Greek Yogurt,120,16,3808
272,Propolis Herbal Supplement,47,11,4744
287,Turkey,96,20,474
301,"Biotin 10,000mcg Maximum Strength",47,11,6461
304,Dry Roasted Pistachios,117,19,194
306,Gold Potatoes,83,4,672
312,Juicing Carrots,83,4,23
317,Best Grains Honey & Crunch Oat Bread,112,3,5499
321,Echinacea Goldenseal Alcohol Free Extract,47,11,7226
325,Veggie-Style Mini Corn Dogs,42,1,4510
329,Organic Whole Grassmilk Milk,84,16,4439
339,Creamline Yogurt Wild Blueberry,120,16,1144
340,Eco-Pac Kamut Puffs Cereal,121,14,5365
343,Organic Whole Peeled Baby Carrots,123,4,2188
346,Sunflower Bread,112,3,5
347,"Vegetable Salad Kit, Sweet Kale",123,4,1721
355,Ground Flaxseed With Mixed Berries,117,19,2432
359,Deli Thin-Sliced Honey Ham,96,20,1661
364,Greener Selection Salad,123,4,4615
365,Cheerios Cereal,121,14,453
366,Vitamin C 1000 Mg Tropical Drink Mix Dietary Supplement,47,11,8161
367,Ultimate Omega 1000 mg Lemon Soft Gels,47,11,5078
374,Sliced Kosher Salami,96,20,19
380,Clementine Bag,123,4,673
389,Mache Blend,123,4,618
390,Super Enzymes,47,11,213
391,Organic Yukon Gold Potato Bag,83,4,799
400,Grass-Fed Yogurt Blueberry Cardamom,120,16,1144
403,Ultra Thin Pastrami,96,20,2493
408,Pink Vitamin C 1000 Mg Pink Lemonade Drink Mix,47,11,7238
419,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,120,16,1144
432,Vanilla Almond Breeze Almond Milk,91,16,2424
